zero;0;
one;1;
two;2;
three;3;
four;4;
five;5;
six;6;
seven;7;
eight;8;
nine;9;
ten;10;
eleven;11;
twelve;12;
thirteen;13;
fourteen;14;
fifteen;15;
sixteen;16;
seventeen;17;
eighteen;18;
nineteen;19;
twenty;20;
twenty-one;21;
twenty-two;22;
twenty-three;23;
twenty-four;24;
twenty-five;25;
twenty-six;26;
twenty-seven;27;
twenty-eight;28;
twenty-nine;29;
thirty;30;
thirty-one;31;
thirty-two;32;
thirty-three;33;
thirty-four;34;
thirty-five;35;
thirty-six;36;
thirty-seven;37;
thirty-eight;38;
thirty-nine;39;
forty;40;
forty-one;41;
forty-two;42;
forty-three;43;
forty-four;44;
forty-five;45;
forty-six;46;
forty-seven;47;
forty-eight;48;
forty-nine;49;
fifty;50;
fifty-one;51;
fifty-two;52;
fifty-three;53;
fifty-four;54;
fifty-five;55;
fifty-six;56;
fifty-seven;57;
fifty-eight;58;
fifty-nine;59;
sixty;60;
sixty-one;61;
sixty-two;62;
sixty-three;63;
sixty-four;64;
sixty-five;65;
sixty-six;66;
sixty-seven;67;
sixty-eight;68;
sixty-nine;69;
seventy;70;
seventy-one;71;
seventy-two;72;
seventy-three;73;
seventy-four;74;
seventy-five;75;
seventy-six;76;
seventy-seven;77;
seventy-eight;78;
seventy-nine;79;
eighty;80;
eighty-one;81;
eighty-two;82;
eighty-three;83;
eighty-four;84;
eighty-five;85;
eighty-six;86;
eighty-seven;87;
eighty-eight;88;
eighty-nine;89;
ninety;90;
ninety-one;91;
ninety-two;92;
ninety-three;93;
ninety-four;94;
ninety-five;95;
ninety-six;96;
ninety-seven;97;
ninety-eight;98;
ninety-nine;99;
one hundred;100;
one hundred one;101;
one hundred two;102;
one hundred three;103;
one hundred four;104;
one hundred five;105;
one hundred six;106;
one hundred seven;107;
one hundred eight;108;
one hundred nine;109;
one hundred ten;110;
one hundred eleven;111;
one hundred twelve;112;
one hundred thirteen;113;
one hundred fourteen;114;
one hundred fifteen;115;
one hundred sixteen;116;
one hundred seventeen;117;
one hundred eighteen;118;
one hundred nineteen;119;
one hundred twenty;120;
one hundred twenty-one;121;
one hundred twenty-two;122;
one hundred twenty-three;123;
one hundred twenty-four;124;
one hundred twenty-five;125;
one hundred twenty-six;126;
one hundred twenty-seven;127;
one hundred twenty-eight;128;
one hundred twenty-nine;129;
one hundred thirty;130;
one hundred thirty-one;131;
one hundred thirty-two;132;
one hundred thirty-three;133;
one hundred thirty-four;134;
one hundred thirty-five;135;
one hundred thirty-six;136;
one hundred thirty-seven;137;
one hundred thirty-eight;138;
one hundred thirty-nine;139;
one hundred forty;140;
one hundred forty-one;141;
one hundred forty-two;142;
one hundred forty-three;143;
one hundred forty-four;144;
one hundred forty-five;145;
one hundred forty-six;146;
one hundred forty-seven;147;
one hundred forty-eight;148;
one hundred forty-nine;149;
one hundred fifty;150;
